# m-sequence generator polynomials (m=13)
# hex       oct       bin
  0x201b    020033    10000000011011
  0x2027    020047    10000000100111
  0x2035    020065    10000000110101
  0x2053    020123    10000001010011
  0x2065    020145    10000001100101
  0x206f    020157    10000001101111
  0x208b    020213    10000010001011
  0x208d    020215    10000010001101
  0x209f    020237    10000010011111
  0x20a5    020245    10000010100101
  0x20af    020257    10000010101111
  0x20bb    020273    10000010111011
  0x20bd    020275    10000010111101
  0x20c3    020303    10000011000011
  0x20c9    020311    10000011001001
  0x20e1    020341    10000011100001
  0x20f3    020363    10000011110011
  0x210d    020415    10000100001101
  0x2115    020425    10000100010101
  0x2129    020451    10000100101001
  0x212f    020457    10000100101111
  0x213b    020473    10000100111011
  0x2143    020503    10000101000011
  0x2167    020547    10000101100111
  0x216b    020553    10000101101011
  0x2179    020571    10000101111001
  0x2189    020611    10000110001001
  0x2197    020627    10000110010111
  0x219d    020635    10000110011101
  0x21bf    020677    10000110111111
  0x21c1    020701    10000111000001
  0x21c7    020707    10000111000111
  0x21cd    020715    10000111001101
  0x21df    020737    10000111011111
  0x21e3    020743    10000111100011
  0x21f1    020761    10000111110001
  0x21fb    020773    10000111111011
  0x2219    021031    10001000011001
  0x2225    021045    10001000100101
  0x2237    021067    10001000110111
  0x223d    021075    10001000111101
  0x2243    021103    10001001000011
  0x225b    021133    10001001011011
  0x225d    021135    10001001011101
  0x2279    021171    10001001111001
  0x227f    021177    10001001111111
  0x2289    021211    10001010001001
  0x2297    021227    10001010010111
  0x229b    021233    10001010011011
  0x22b3    021263    10001010110011
  0x22bf    021277    10001010111111
  0x22cd    021315    10001011001101
  0x22ef    021357    10001011101111
  0x22f7    021367    10001011110111
  0x22fb    021373    10001011111011
  0x2305    021405    10001100000101
  0x2327    021447    10001100100111
  0x232b    021453    10001100101011
  0x2347    021507    10001101000111
  0x2355    021525    10001101010101
  0x2359    021531    10001101011001
  0x236f    021557    10001101101111
  0x2371    021561    10001101110001
  0x237d    021575    10001101111101
  0x2387    021607    10001110000111
  0x238d    021615    10001110001101
  0x2395    021625    10001110010101
  0x23a3    021643    10001110100011
  0x23a9    021651    10001110101001
  0x23b1    021661    10001110110001
  0x23b7    021667    10001110110111
  0x23bb    021673    10001110111011
  0x23e1    021741    10001111100001
  0x23ed    021755    10001111101101
  0x23f9    021771    10001111111001
  0x240b    022013    10010000001011
  0x2413    022023    10010000010011
  0x241f    022037    10010000011111
  0x2425    022045    10010000100101
  0x2429    022051    10010000101001
  0x243d    022075    10010000111101
  0x2451    022121    10010001010001
  0x2457    022127    10010001010111
  0x2461    022141    10010001100001
  0x246d    022155    10010001101101
  0x247f    022177    10010001111111
  0x2483    022203    10010010000011
  0x249b    022233    10010010011011
  0x249d    022235    10010010011101
  0x24b5    022265    10010010110101
  0x24bf    022277    10010010111111
  0x24c1    022301    10010011000001
  0x24c7    022307    10010011000111
  0x24cb    022313    10010011001011
  0x24e3    022343    10010011100011
  0x2509    022411    10010100001001
  0x2517    022427    10010100010111
  0x251d    022435    10010100011101
  0x2521    022441    10010100100001
  0x252d    022455    10010100101101
  0x2539    022471    10010100111001
  0x2553    022523    10010101010011
  0x2555    022525    10010101010101
  0x2563    022543    10010101100011
  0x2571    022561    10010101110001
  0x2577    022567    10010101110111
  0x2587    022607    10010110000111
  0x258b    022613    10010110001011
  0x2595    022625    10010110010101
  0x2599    022631    10010110011001
  0x259f    022637    10010110011111
  0x25af    022657    10010110101111
  0x25bd    022675    10010110111101
  0x25c5    022705    10010111000101
  0x25cf    022717    10010111001111
  0x25d7    022727    10010111010111
  0x25eb    022753    10010111101011
  0x2603    023003    10011000000011
  0x2605    023005    10011000000101
  0x2611    023021    10011000010001
  0x262d    023055    10011000101101
  0x263f    023077    10011000111111
  0x264b    023113    10011001001011
  0x2653    023123    10011001010011
  0x2659    023131    10011001011001
  0x2669    023151    10011001101001
  0x2677    023167    10011001110111
  0x267b    023173    10011001111011
  0x2687    023207    10011010000111
  0x2693    023223    10011010010011
  0x2699    023231    10011010011001
  0x26b1    023261    10011010110001
  0x26b7    023267    10011010110111
  0x26bd    023275    10011010111101
  0x26c3    023303    10011011000011
  0x26eb    023353    10011011101011
  0x26f5    023365    10011011110101
  0x2713    023423    10011100010011
  0x2729    023451    10011100101001
  0x273b    023473    10011100111011
  0x274f    023517    10011101001111
  0x2757    023527    10011101010111
  0x275d    023535    10011101011101
  0x276b    023553    10011101101011
  0x2773    023563    10011101110011
  0x2779    023571    10011101111001
  0x2783    023603    10011110000011
  0x2791    023621    10011110010001
  0x27a1    023641    10011110100001
  0x27b9    023671    10011110111001
  0x27c7    023707    10011111000111
  0x27cb    023713    10011111001011
  0x27df    023737    10011111011111
  0x27ef    023757    10011111101111
  0x27f1    023761    10011111110001
  0x2807    024007    10100000000111
  0x2819    024031    10100000011001
  0x281f    024037    10100000011111
  0x2823    024043    10100000100011
  0x2831    024061    10100000110001
  0x283b    024073    10100000111011
  0x283d    024075    10100000111101
  0x2845    024105    10100001000101
  0x2867    024147    10100001100111
  0x2875    024165    10100001110101
  0x2885    024205    10100010000101
  0x28ab    024253    10100010101011
  0x28ad    024255    10100010101101
  0x28bf    024277    10100010111111
  0x28cd    024315    10100011001101
  0x28d5    024325    10100011010101
  0x28df    024337    10100011011111
  0x28e3    024343    10100011100011
  0x28e9    024351    10100011101001
  0x28fb    024373    10100011111011
  0x2909    024411    10100100001001
  0x290f    024417    10100100001111
  0x2911    024421    10100100010001
  0x291b    024433    10100100011011
  0x292b    024453    10100100101011
  0x2935    024465    10100100110101
  0x293f    024477    10100100111111
  0x2941    024501    10100101000001
  0x294b    024513    10100101001011
  0x2955    024525    10100101010101
  0x2977    024567    10100101110111
  0x297d    024575    10100101111101
  0x2981    024601    10100110000001
  0x2993    024623    10100110010011
  0x299f    024637    10100110011111
  0x29af    024657    10100110101111
  0x29b7    024667    10100110110111
  0x29bd    024675    10100110111101
  0x29c3    024703    10100111000011
