# m-sequence generator polynomials (m=15)
# hex       oct       bin
  0x8003    100003    1000000000000011
  0x8011    100021    1000000000010001
  0x8017    100027    1000000000010111
  0x802d    100055    1000000000101101
  0x8035    100065    1000000000110101
  0x805f    100137    1000000001011111
  0x8077    100167    1000000001110111
  0x8081    100201    1000000010000001
  0x8087    100207    1000000010000111
  0x8093    100223    1000000010010011
  0x80a5    100245    1000000010100101
  0x80c3    100303    1000000011000011
  0x80cf    100317    1000000011001111
  0x80dd    100335    1000000011011101
  0x80e7    100347    1000000011100111
  0x80f5    100365    1000000011110101
  0x8101    100401    1000000100000001
  0x8115    100425    1000000100010101
  0x8125    100445    1000000100100101
  0x8157    100527    1000000101010111
  0x815d    100535    1000000101011101
  0x8161    100541    1000000101100001
  0x816d    100555    1000000101101101
  0x8185    100605    1000000110000101
  0x81a1    100641    1000000110100001
  0x81a7    100647    1000000110100111
  0x81b9    100671    1000000110111001
  0x81cb    100713    1000000111001011
  0x81cd    100715    1000000111001101
  0x81df    100737    1000000111011111
  0x81fd    100775    1000000111111101
  0x8213    101023    1000001000010011
  0x823b    101073    1000001000111011
  0x8245    101105    1000001001000101
  0x827f    101177    1000001001111111
  0x8289    101211    1000001010001001
  0x828f    101217    1000001010001111
  0x829b    101233    1000001010011011
  0x82cb    101313    1000001011001011
  0x82d9    101331    1000001011011001
  0x8317    101427    1000001100010111
  0x831b    101433    1000001100011011
  0x832b    101453    1000001100101011
  0x8333    101463    1000001100110011
  0x8347    101507    1000001101000111
  0x834d    101515    1000001101001101
  0x835f    101537    1000001101011111
  0x8363    101543    1000001101100011
  0x8369    101551    1000001101101001
  0x8371    101561    1000001101110001
  0x838b    101613    1000001110001011
  0x8399    101631    1000001110011001
  0x83af    101657    1000001110101111
  0x83bd    101675    1000001110111101
  0x83c5    101705    1000001111000101
  0x83d1    101721    1000001111010001
  0x8419    102031    1000010000011001
  0x8423    102043    1000010000100011
  0x842f    102057    1000010000101111
  0x8431    102061    1000010000110001
  0x8437    102067    1000010000110111
  0x8467    102147    1000010001100111
  0x846d    102155    1000010001101101
  0x8479    102171    1000010001111001
  0x8483    102203    1000010010000011
  0x8497    102227    1000010010010111
  0x84a1    102241    1000010010100001
  0x84b5    102265    1000010010110101
  0x84df    102337    1000010011011111
  0x84f7    102367    1000010011110111
  0x84fd    102375    1000010011111101
  0x851d    102435    1000010100011101
  0x8521    102441    1000010100100001
  0x8527    102447    1000010100100111
  0x8533    102463    1000010100110011
  0x8547    102507    1000010101000111
  0x854b    102513    1000010101001011
  0x855f    102537    1000010101011111
  0x8571    102561    1000010101110001
  0x857b    102573    1000010101111011
  0x8581    102601    1000010110000001
  0x858d    102615    1000010110001101
  0x85a3    102643    1000010110100011
  0x85b1    102661    1000010110110001
  0x85c5    102705    1000010111000101
  0x85c9    102711    1000010111001001
  0x85db    102733    1000010111011011
  0x85ed    102755    1000010111101101
  0x85f3    102763    1000010111110011
  0x8609    103011    1000011000001001
  0x8611    103021    1000011000010001
  0x861d    103035    1000011000011101
  0x862b    103053    1000011000101011
  0x8655    103125    1000011001010101
  0x8659    103131    1000011001011001
  0x8665    103145    1000011001100101
  0x867d    103175    1000011001111101
  0x8681    103201    1000011010000001
  0x86a9    103251    1000011010101001
  0x86af    103257    1000011010101111
  0x86b7    103267    1000011010110111
  0x86c3    103303    1000011011000011
  0x86db    103333    1000011011011011
  0x86ff    103377    1000011011111111
  0x870b    103413    1000011100001011
  0x870d    103415    1000011100001101
  0x8715    103425    1000011100010101
  0x8729    103451    1000011100101001
  0x8731    103461    1000011100110001
  0x876b    103553    1000011101101011
  0x8785    103605    1000011110000101
  0x8789    103611    1000011110001001
  0x878f    103617    1000011110001111
  0x87ab    103653    1000011110101011
  0x87ad    103655    1000011110101101
  0x87b3    103663    1000011110110011
  0x87bf    103677    1000011110111111
