# m-sequence generator polynomials (m=7)
# hex       oct       bin
  0x0083    000203    10000011
  0x0089    000211    10001001
  0x008f    000217    10001111
  0x0091    000221    10010001
  0x009d    000235    10011101
  0x00a7    000247    10100111
  0x00ab    000253    10101011
  0x00b9    000271    10111001
  0x00bf    000277    10111111
  0x00c1    000301    11000001
  0x00cb    000313    11001011
  0x00d3    000323    11010011
  0x00d5    000325    11010101
  0x00e5    000345    11100101
  0x00ef    000357    11101111
  0x00f1    000361    11110001
  0x00f7    000367    11110111
  0x00fd    000375    11111101
