# m-sequence generator polynomials (m=8)
# hex       oct       bin
  0x011d    000435    100011101
  0x012b    000453    100101011
  0x012d    000455    100101101
  0x014d    000515    101001101
  0x015f    000537    101011111
  0x0163    000543    101100011
  0x0165    000545    101100101
  0x0169    000551    101101001
  0x0171    000561    101110001
  0x0187    000607    110000111
  0x018d    000615    110001101
  0x01a9    000651    110101001
  0x01c3    000703    111000011
  0x01cf    000717    111001111
  0x01e7    000747    111100111
  0x01f5    000765    111110101
