# m-sequence generator polynomials (m=14)
# hex       oct       bin
  0x402b    040053    100000000101011
  0x4039    040071    100000000111001
  0x4053    040123    100000001010011
  0x405f    040137    100000001011111
  0x407b    040173    100000001111011
  0x40a9    040251    100000010101001
  0x40af    040257    100000010101111
  0x40bb    040273    100000010111011
  0x40bd    040275    100000010111101
  0x40cf    040317    100000011001111
  0x40eb    040353    100000011101011
  0x40f3    040363    100000011110011
  0x410d    040415    100000100001101
  0x4113    040423    100000100010011
  0x413b    040473    100000100111011
  0x4143    040503    100000101000011
  0x419b    040633    100000110011011
  0x419d    040635    100000110011101
  0x41a7    040647    100000110100111
  0x41ad    040655    100000110101101
  0x41b5    040665    100000110110101
  0x41d5    040725    100000111010101
  0x41d9    040731    100000111011001
  0x41f1    040761    100000111110001
  0x420d    041015    100001000001101
  0x4257    041127    100001001010111
  0x4261    041141    100001001100001
  0x427f    041177    100001001111111
  0x4285    041205    100001010000101
  0x429d    041235    100001010011101
  0x42c7    041307    100001011000111
  0x42cb    041313    100001011001011
  0x42cd    041315    100001011001101
  0x42e3    041343    100001011100011
  0x42e9    041351    100001011101001
  0x42ef    041357    100001011101111
  0x4309    041411    100001100001001
  0x4321    041441    100001100100001
  0x433f    041477    100001100111111
  0x437d    041575    100001101111101
  0x4387    041607    100001110000111
  0x4395    041625    100001110010101
  0x43af    041657    100001110101111
  0x43c9    041711    100001111001001
  0x43eb    041753    100001111101011
  0x43ed    041755    100001111101101
  0x440b    042013    100010000001011
  0x4443    042103    100010001000011
  0x4473    042163    100010001110011
  0x44d3    042323    100010011010011
  0x44d5    042325    100010011010101
  0x44df    042337    100010011011111
  0x44e3    042343    100010011100011
  0x44fb    042373    100010011111011
  0x452b    042453    100010100101011
  0x4539    042471    100010100111001
  0x4559    042531    100010101011001
  0x456f    042557    100010101101111
  0x4599    042631    100010110011001
  0x459f    042637    100010110011111
  0x45a5    042645    100010110100101
  0x45b7    042667    100010110110111
  0x45c5    042705    100010111000101
  0x45d7    042727    100010111010111
  0x45e7    042747    100010111100111
  0x45f3    042763    100010111110011
  0x45ff    042777    100010111111111
  0x460f    043017    100011000001111
  0x461d    043035    100011000011101
  0x4627    043047    100011000100111
  0x4635    043065    100011000110101
  0x4647    043107    100011001000111
  0x4659    043131    100011001011001
  0x4663    043143    100011001100011
  0x4671    043161    100011001110001
  0x467b    043173    100011001111011
  0x46a5    043245    100011010100101
  0x46c5    043305    100011011000101
  0x46cf    043317    100011011001111
  0x46db    043333    100011011011011
  0x4731    043461    100011100110001
  0x474f    043517    100011101001111
  0x477f    043577    100011101111111
  0x47a7    043647    100011110100111
  0x47c1    043701    100011111000001
  0x47e5    043745    100011111100101
  0x47e9    043751    100011111101001
  0x47ef    043757    100011111101111
  0x4813    044023    100100000010011
  0x4819    044031    100100000011001
  0x483b    044073    100100000111011
  0x4843    044103    100100001000011
  0x485b    044133    100100001011011
  0x4861    044141    100100001100001
  0x4867    044147    100100001100111
  0x487f    044177    100100001111111
  0x4883    044203    100100010000011
  0x48e3    044343    100100011100011
  0x491d    044435    100100100011101
  0x492d    044455    100100100101101
  0x4939    044471    100100100111001
  0x4969    044551    100100101101001
  0x4977    044567    100100101110111
  0x4987    044607    100100110000111
  0x49a9    044651    100100110101001
  0x49cf    044717    100100111001111
  0x49e1    044741    100100111100001
  0x4a35    045065    100101000110101
  0x4a65    045145    100101001100101
  0x4a7b    045173    100101001111011
  0x4a81    045201    100101010000001
  0x4a87    045207    100101010000111
  0x4a8b    045213    100101010001011
  0x4aa3    045243    100101010100011
  0x4ac9    045311    100101011001001
  0x4add    045335    100101011011101
  0x4af9    045371    100101011111001
  0x4b37    045467    100101100110111
  0x4b49    045511    100101101001001
  0x4b5b    045533    100101101011011
  0x4b6b    045553    100101101101011
  0x4b6d    045555    100101101101101
  0x4b73    045563    100101101110011
  0x4b79    045571    100101101111001
  0x4b85    045605    100101110000101
  0x4b97    045627    100101110010111
  0x4ba1    045641    100101110100001
  0x4bab    045653    100101110101011
  0x4bb9    045671    100101110111001
  0x4bcb    045713    100101111001011
  0x4bcd    045715    100101111001101
  0x4bd5    045725    100101111010101
  0x4bdf    045737    100101111011111
  0x4bf1    045761    100101111110001
  0x4bfb    045773    100101111111011
  0x4c09    046011    100110000001001
  0x4c1d    046035    100110000011101
  0x4c3f    046077    100110000111111
  0x4c47    046107    100110001000111
  0x4c4b    046113    100110001001011
  0x4c55    046125    100110001010101
  0x4c7d    046175    100110001111101
  0x4c8d    046215    100110010001101
  0x4ca5    046245    100110010100101
  0x4cbd    046275    100110010111101
  0x4cc5    046305    100110011000101
  0x4cd1    046321    100110011010001
  0x4cd7    046327    100110011010111
  0x4ced    046355    100110011101101
  0x4d1f    046437    100110100011111
  0x4d31    046461    100110100110001
  0x4d45    046505    100110101000101
  0x4d4f    046517    100110101001111
  0x4d51    046521    100110101010001
  0x4d75    046565    100110101110101
  0x4d8f    046617    100110110001111
  0x4dad    046655    100110110101101
  0x4db3    046663    100110110110011
  0x4dc1    046701    100110111000001
  0x4dfb    046773    100110111111011
  0x4e01    047001    100111000000001
  0x4e15    047025    100111000010101
  0x4e37    047067    100111000110111
  0x4e43    047103    100111001000011
  0x4e49    047111    100111001001001
  0x4e51    047121    100111001010001
  0x4e6b    047153    100111001101011
  0x4e6d    047155    100111001101101
  0x4e83    047203    100111010000011
  0x4e9b    047233    100111010011011
  0x4ed3    047323    100111011010011
  0x4ee5    047345    100111011100101
  0x4ee9    047351    100111011101001
  0x4eef    047357    100111011101111
  0x4f1d    047435    100111100011101
  0x4f55    047525    100111101010101
  0x4f5f    047537    100111101011111
  0x4f69    047551    100111101101001
  0x4f6f    047557    100111101101111
  0x4f9f    047637    100111110011111
  0x4fa9    047651    100111110101001
  0x4fb7    047667    100111110110111
  0x4fbb    047673    100111110111011
  0x4feb    047753    100111111101011
  0x5007    050007    101000000000111
  0x501f    050037    101000000011111
  0x5025    050045    101000000100101
  0x505d    050135    101000001011101
  0x50a1    050241    101000010100001
  0x50d5    050325    101000011010101
  0x50e9    050351    101000011101001
  0x512d    050455    101000100101101
  0x5153    050523    101000101010011
  0x5159    050531    101000101011001
  0x515f    050537    101000101011111
  0x517d    050575    101000101111101
  0x518b    050613    101000110001011
  0x5199    050631    101000110011001
  0x51a5    050645    101000110100101
  0x51b1    050661    101000110110001
  0x51d1    050721    101000111010001
  0x51db    050733    101000111011011
  0x51eb    050753    101000111101011
  0x51ed    050755    101000111101101
  0x51f5    050765    101000111110101
  0x51ff    050777    101000111111111
  0x5205    051005    101001000000101
  0x520f    051017    101001000001111
  0x522d    051055    101001000101101
  0x5265    051145    101001001100101
  0x528b    051213    101001010001011
  0x5299    051231    101001010011001
  0x52a3    051243    101001010100011
  0x52b1    051261    101001010110001
  0x52c3    051303    101001011000011
  0x52c5    051305    101001011000101
  0x52d1    051321    101001011010001
  0x52e7    051347    101001011100111
  0x5325    051445    101001100100101
  0x5329    051451    101001100101001
  0x535b    051533    101001101011011
  0x539b    051633    101001110011011
  0x539d    051635    101001110011101
  0x53a7    051647    101001110100111
  0x53b9    051671    101001110111001
  0x53bf    051677    101001110111111
  0x53c7    051707    101001111000111
  0x53f1    051761    101001111110001
  0x5403    052003    101010000000011
  0x540f    052017    101010000001111
  0x5417    052027    101010000010111
  0x5435    052065    101010000110101
  0x5439    052071    101010000111001
  0x5447    052107    101010001000111
  0x545f    052137    101010001011111
  0x547b    052173    101010001111011
  0x548d    052215    101010010001101
  0x549f    052237    101010010011111
  0x54bb    052273    101010010111011
  0x54dd    052335    101010011011101
  0x54e1    052341    101010011100001
  0x5519    052431    101010100011001
  0x552f    052457    101010100101111
  0x5537    052467    101010100110111
  0x5579    052571    101010101111001
  0x557f    052577    101010101111111
  0x5583    052603    101010110000011
  0x5585    052605    101010110000101
  0x5591    052621    101010110010001
  0x55ad    052655    101010110101101
  0x55c1    052701    101010111000001
  0x55d3    052723    101010111010011
  0x55e9    052751    101010111101001
  0x55f7    052767    101010111110111
  0x560d    053015    101011000001101
  0x5615    053025    101011000010101
  0x5629    053051    101011000101001
  0x562f    053057    101011000101111
  0x5631    053061    101011000110001
  0x569b    053233    101011010011011
  0x56ab    053253    101011010101011
  0x56ad    053255    101011010101101
  0x56b3    053263    101011010110011
  0x56c1    053301    101011011000001
  0x56c7    053307    101011011000111
  0x56cd    053315    101011011001101
  0x56f7    053367    101011011110111
  0x572b    053453    101011100101011
