# m-sequence generator polynomials (m=9)
# hex       oct       bin
  0x0211    001021    1000010001
  0x021b    001033    1000011011
  0x0221    001041    1000100001
  0x022d    001055    1000101101
  0x0233    001063    1000110011
  0x0259    001131    1001011001
  0x025f    001137    1001011111
  0x0269    001151    1001101001
  0x026f    001157    1001101111
  0x0277    001167    1001110111
  0x027d    001175    1001111101
  0x0287    001207    1010000111
  0x0295    001225    1010010101
  0x02a3    001243    1010100011
  0x02a5    001245    1010100101
  0x02af    001257    1010101111
  0x02b7    001267    1010110111
  0x02bd    001275    1010111101
  0x02cf    001317    1011001111
  0x02d1    001321    1011010001
  0x02db    001333    1011011011
  0x02f5    001365    1011110101
  0x02f9    001371    1011111001
  0x0313    001423    1100010011
  0x0315    001425    1100010101
  0x031f    001437    1100011111
  0x0323    001443    1100100011
  0x0331    001461    1100110001
  0x033b    001473    1100111011
  0x034f    001517    1101001111
  0x035b    001533    1101011011
  0x0361    001541    1101100001
  0x036b    001553    1101101011
  0x036d    001555    1101101101
  0x0373    001563    1101110011
  0x037f    001577    1101111111
  0x0385    001605    1110000101
  0x038f    001617    1110001111
  0x03b5    001665    1110110101
  0x03b9    001671    1110111001
  0x03c7    001707    1111000111
  0x03cb    001713    1111001011
  0x03cd    001715    1111001101
  0x03d5    001725    1111010101
  0x03d9    001731    1111011001
  0x03e3    001743    1111100011
  0x03e9    001751    1111101001
  0x03fb    001773    1111111011
