# m-sequence generator polynomials (m=11)
# hex       oct       bin
  0x0805    004005    100000000101
  0x0817    004027    100000010111
  0x082b    004053    100000101011
  0x082d    004055    100000101101
  0x0847    004107    100001000111
  0x0863    004143    100001100011
  0x0865    004145    100001100101
  0x0871    004161    100001110001
  0x087b    004173    100001111011
  0x088d    004215    100010001101
  0x0895    004225    100010010101
  0x089f    004237    100010011111
  0x08a9    004251    100010101001
  0x08b1    004261    100010110001
  0x08cf    004317    100011001111
  0x08d1    004321    100011010001
  0x08e1    004341    100011100001
  0x08e7    004347    100011100111
  0x08eb    004353    100011101011
  0x08f5    004365    100011110101
  0x090d    004415    100100001101
  0x0913    004423    100100010011
  0x0925    004445    100100100101
  0x0929    004451    100100101001
  0x093b    004473    100100111011
  0x093d    004475    100100111101
  0x0945    004505    100101000101
  0x0949    004511    100101001001
  0x0951    004521    100101010001
  0x095b    004533    100101011011
  0x0973    004563    100101110011
  0x0975    004565    100101110101
  0x097f    004577    100101111111
  0x0983    004603    100110000011
  0x098f    004617    100110001111
  0x09ab    004653    100110101011
  0x09ad    004655    100110101101
  0x09b9    004671    100110111001
  0x09c7    004707    100111000111
  0x09d9    004731    100111011001
  0x09e5    004745    100111100101
  0x09f7    004767    100111110111
  0x0a01    005001    101000000001
  0x0a07    005007    101000000111
  0x0a13    005023    101000010011
  0x0a15    005025    101000010101
  0x0a29    005051    101000101001
  0x0a49    005111    101001001001
  0x0a61    005141    101001100001
  0x0a6d    005155    101001101101
  0x0a79    005171    101001111001
  0x0a7f    005177    101001111111
  0x0a85    005205    101010000101
  0x0a91    005221    101010010001
  0x0a9d    005235    101010011101
  0x0aa7    005247    101010100111
  0x0aab    005253    101010101011
  0x0ab3    005263    101010110011
  0x0ab5    005265    101010110101
  0x0ad5    005325    101011010101
  0x0adf    005337    101011011111
  0x0ae9    005351    101011101001
  0x0aef    005357    101011101111
  0x0af1    005361    101011110001
  0x0afb    005373    101011111011
  0x0b03    005403    101100000011
  0x0b09    005411    101100001001
  0x0b11    005421    101100010001
  0x0b33    005463    101100110011
  0x0b3f    005477    101100111111
  0x0b41    005501    101101000001
  0x0b4b    005513    101101001011
  0x0b59    005531    101101011001
  0x0b5f    005537    101101011111
  0x0b65    005545    101101100101
  0x0b6f    005557    101101101111
  0x0b7d    005575    101101111101
  0x0b87    005607    101110000111
  0x0b8b    005613    101110001011
  0x0b93    005623    101110010011
  0x0b95    005625    101110010101
  0x0baf    005657    101110101111
  0x0bb7    005667    101110110111
  0x0bbd    005675    101110111101
  0x0bc9    005711    101111001001
  0x0bdb    005733    101111011011
  0x0bdd    005735    101111011101
  0x0be7    005747    101111100111
  0x0bed    005755    101111101101
  0x0c0b    006013    110000001011
  0x0c0d    006015    110000001101
  0x0c19    006031    110000011001
  0x0c1f    006037    110000011111
  0x0c57    006127    110001010111
  0x0c61    006141    110001100001
  0x0c6b    006153    110001101011
  0x0c73    006163    110001110011
  0x0c85    006205    110010000101
  0x0c89    006211    110010001001
  0x0c97    006227    110010010111
  0x0c9b    006233    110010011011
  0x0c9d    006235    110010011101
  0x0cb3    006263    110010110011
  0x0cbf    006277    110010111111
  0x0cc7    006307    110011000111
  0x0ccd    006315    110011001101
  0x0cd3    006323    110011010011
  0x0cd5    006325    110011010101
  0x0ce3    006343    110011100011
  0x0ce9    006351    110011101001
  0x0cf7    006367    110011110111
  0x0d03    006403    110100000011
  0x0d0f    006417    110100001111
  0x0d1d    006435    110100011101
  0x0d27    006447    110100100111
  0x0d2d    006455    110100101101
  0x0d41    006501    110101000001
  0x0d47    006507    110101000111
  0x0d55    006525    110101010101
  0x0d59    006531    110101011001
  0x0d63    006543    110101100011
  0x0d6f    006557    110101101111
  0x0d71    006561    110101110001
  0x0d93    006623    110110010011
  0x0d9f    006637    110110011111
  0x0da9    006651    110110101001
  0x0dbb    006673    110110111011
  0x0dbd    006675    110110111101
  0x0dc9    006711    110111001001
  0x0dd7    006727    110111010111
  0x0ddb    006733    110111011011
  0x0de1    006741    110111100001
  0x0de7    006747    110111100111
  0x0df5    006765    110111110101
  0x0e05    007005    111000000101
  0x0e1d    007035    111000011101
  0x0e21    007041    111000100001
  0x0e27    007047    111000100111
  0x0e2b    007053    111000101011
  0x0e33    007063    111000110011
  0x0e39    007071    111000111001
  0x0e47    007107    111001000111
  0x0e4b    007113    111001001011
  0x0e55    007125    111001010101
  0x0e5f    007137    111001011111
  0x0e71    007161    111001110001
  0x0e7b    007173    111001111011
  0x0e7d    007175    111001111101
  0x0e81    007201    111010000001
  0x0e93    007223    111010010011
  0x0e9f    007237    111010011111
  0x0ea3    007243    111010100011
  0x0ebb    007273    111010111011
  0x0ecf    007317    111011001111
  0x0edd    007335    111011011101
  0x0ef3    007363    111011110011
  0x0ef9    007371    111011111001
  0x0f0b    007413    111100001011
  0x0f19    007431    111100011001
  0x0f31    007461    111100110001
  0x0f37    007467    111100110111
  0x0f5d    007535    111101011101
  0x0f6b    007553    111101101011
  0x0f6d    007555    111101101101
  0x0f75    007565    111101110101
  0x0f83    007603    111110000011
  0x0f91    007621    111110010001
  0x0f97    007627    111110010111
  0x0f9b    007633    111110011011
  0x0fa7    007647    111110100111
  0x0fad    007655    111110101101
  0x0fb5    007665    111110110101
  0x0fcd    007715    111111001101
  0x0fd3    007723    111111010011
  0x0fe5    007745    111111100101
  0x0fe9    007751    111111101001
