# m-sequence generator polynomials (m=12)
# hex       oct       bin
  0x1053    010123    1000001010011
  0x1069    010151    1000001101001
  0x107b    010173    1000001111011
  0x107d    010175    1000001111101
  0x1099    010231    1000010011001
  0x10d1    010321    1000011010001
  0x10eb    010353    1000011101011
  0x1107    010407    1000100000111
  0x111f    010437    1000100011111
  0x1123    010443    1000100100011
  0x113b    010473    1000100111011
  0x114f    010517    1000101001111
  0x1157    010527    1000101010111
  0x1161    010541    1000101100001
  0x116b    010553    1000101101011
  0x1185    010605    1000110000101
  0x11b3    010663    1000110110011
  0x11d9    010731    1000111011001
  0x11df    010737    1000111011111
  0x120d    011015    1001000001101
  0x1237    011067    1001000110111
  0x123d    011075    1001000111101
  0x1267    011147    1001001100111
  0x1273    011163    1001001110011
  0x127f    011177    1001001111111
  0x12b9    011271    1001010111001
  0x12c1    011301    1001011000001
  0x12cb    011313    1001011001011
  0x130f    011417    1001100001111
  0x131d    011435    1001100011101
  0x1321    011441    1001100100001
  0x1339    011471    1001100111001
  0x133f    011477    1001100111111
  0x134d    011515    1001101001101
  0x1371    011561    1001101110001
  0x1399    011631    1001110011001
  0x13a3    011643    1001110100011
  0x13a9    011651    1001110101001
  0x1407    012007    1010000000111
  0x1431    012061    1010000110001
  0x1437    012067    1010000110111
  0x144f    012117    1010001001111
  0x145d    012135    1010001011101
  0x1467    012147    1010001100111
  0x1475    012165    1010001110101
  0x14a7    012247    1010010100111
  0x14ad    012255    1010010101101
  0x14d3    012323    1010011010011
  0x150f    012417    1010100001111
  0x151d    012435    1010100011101
  0x154d    012515    1010101001101
  0x1593    012623    1010110010011
  0x15c5    012705    1010111000101
  0x15d7    012727    1010111010111
  0x15dd    012735    1010111011101
  0x15eb    012753    1010111101011
  0x1609    013011    1011000001001
  0x1647    013107    1011001000111
  0x1655    013125    1011001010101
  0x1659    013131    1011001011001
  0x16a5    013245    1011010100101
  0x16bd    013275    1011010111101
  0x1715    013425    1011100010101
  0x1719    013431    1011100011001
  0x1743    013503    1011101000011
  0x1745    013505    1011101000101
  0x1775    013565    1011101110101
  0x1789    013611    1011110001001
  0x17ad    013655    1011110101101
  0x17b3    013663    1011110110011
  0x17bf    013677    1011110111111
  0x17c1    013701    1011111000001
  0x1857    014127    1100001010111
  0x185d    014135    1100001011101
  0x1891    014221    1100010010001
  0x1897    014227    1100010010111
  0x18b9    014271    1100010111001
  0x18ef    014357    1100011101111
  0x191b    014433    1100100011011
  0x1935    014465    1100100110101
  0x1941    014501    1100101000001
  0x1965    014545    1100101100101
  0x197b    014573    1100101111011
  0x198b    014613    1100110001011
  0x19b1    014661    1100110110001
  0x19bd    014675    1100110111101
  0x19c9    014711    1100111001001
  0x19cf    014717    1100111001111
  0x19e7    014747    1100111100111
  0x1a1b    015033    1101000011011
  0x1a2b    015053    1101000101011
  0x1a33    015063    1101000110011
  0x1a69    015151    1101001101001
  0x1a8b    015213    1101010001011
  0x1ad1    015321    1101011010001
  0x1ae1    015341    1101011100001
  0x1af5    015365    1101011110101
  0x1b0b    015413    1101100001011
  0x1b13    015423    1101100010011
  0x1b1f    015437    1101100011111
  0x1b57    015527    1101101010111
  0x1b91    015621    1101110010001
  0x1ba7    015647    1101110100111
  0x1bbf    015677    1101110111111
  0x1bc1    015701    1101111000001
  0x1bd3    015723    1101111010011
  0x1c05    016005    1110000000101
  0x1c11    016021    1110000010001
  0x1c17    016027    1110000010111
  0x1c27    016047    1110000100111
  0x1c4d    016115    1110001001101
  0x1c87    016207    1110010000111
  0x1c9f    016237    1110010011111
  0x1ca5    016245    1110010100101
  0x1cbb    016273    1110010111011
  0x1cc5    016305    1110011000101
  0x1cc9    016311    1110011001001
  0x1ccf    016317    1110011001111
  0x1cf3    016363    1110011110011
  0x1d07    016407    1110100000111
  0x1d23    016443    1110100100011
  0x1d43    016503    1110101000011
  0x1d51    016521    1110101010001
  0x1d5b    016533    1110101011011
  0x1d75    016565    1110101110101
  0x1d85    016605    1110110000101
  0x1d89    016611    1110110001001
  0x1e15    017025    1111000010101
  0x1e19    017031    1111000011001
  0x1e2f    017057    1111000101111
  0x1e45    017105    1111001000101
  0x1e51    017121    1111001010001
  0x1e67    017147    1111001100111
  0x1e73    017163    1111001110011
  0x1e8f    017217    1111010001111
  0x1ee3    017343    1111011100011
  0x1f11    017421    1111100010001
  0x1f1b    017433    1111100011011
  0x1f27    017447    1111100100111
  0x1f71    017561    1111101110001
  0x1f99    017631    1111110011001
  0x1fbb    017673    1111110111011
  0x1fbd    017675    1111110111101
  0x1fc9    017711    1111111001001
