# flexframe_fer_results.dat : auto-generated file
# invoked as: ./src/flexframe_fer -s-10 -d0.25 -x10 -n64000 
#
#  modulation scheme   :   quaternary phase-shift keying
#  modulation depth    :   2 bits/symbol
#  check               :   CRC (32-bit)
#  fec (inner)         :   none
#  fec (outer)         :   none
#  payload length      :   16 bytes
#  frame trials        :   64000
#
# SNR [dB]  FER (frame) HER (header) PER (packet)       frames      headers      packets   num trials
      7.25 0.0000000000 0.0000000000 0.1354375035            0            0         8668        64000
      7.50 0.0000000000 0.0000000000 0.1014687493            0            0         6494        64000
      7.75 0.0000000000 0.0000000000 0.0735781267            0            0         4709        64000
      8.00 0.0000000000 0.0000000000 0.0545468740            0            0         3491        64000
      8.25 0.0000000000 0.0000000000 0.0382656232            0            0         2449        64000
      8.50 0.0000000000 0.0000000000 0.0245312508            0            0         1570        64000
      8.75 0.0000000000 0.0000000000 0.0163749997            0            0         1048        64000
      9.00 0.0000000000 0.0000000000 0.0109999999            0            0          704        64000
      9.25 0.0000000000 0.0000000000 0.0072187502            0            0          462        64000
      9.50 0.0000000000 0.0000000000 0.0043906248            0            0          281        64000
      9.75 0.0000000000 0.0000000000 0.0023281251            0            0          149        64000
     10.00 0.0000000000 0.0000000000 0.0016250000            0            0          104        64000
